Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9853133309123392,0.9893013987502176,0.9661305152847228,0.9775786753671304
Decision Tree,0.9518034319679761,0.9247334714753441,0.9302835262554633,0.9275001962169375
Random Forest,0.9546000976745933,0.9597342906028785,0.9007972995100324,0.9293323067626965
SVM,0.9605607523448163,0.9343596495041265,0.9475583489728313,0.9409127151634538
